organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct
7Q,MNU,2021-05-01,2021-05-31,Month 5,63.1286706832133
7Q,MNU,2021-06-01,2021-06-30,Month 6,49.4713069703205
MQ,ENY,2020-03-01,2020-03-31,Month 3,48.802235389369
MQ,ENY,2020-04-01,2020-04-30,Month 4,15.8758289866356
MQ,ENY,2020-05-01,2020-05-31,Month 5,48.8510429672261
MQ,ENY,2020-06-01,2020-06-30,Month 6,70.8663182553133
MQ,ENY,2020-07-01,2020-07-31,Month 7,64.0048657886503
MQ,ENY,2020-08-01,2020-08-31,Month 8,63.5696679504096
MQ,ENY,2020-09-01,2020-09-30,Month 9,68.234011029299
MQ,ENY,2020-10-01,2020-10-31,Month 10,72.5237809664597
MQ,ENY,2020-11-01,2020-11-30,Month 11,66.2541461699219
MQ,ENY,2020-12-01,2020-12-31,Month 12,66.3311485091865
MQ,ENY,2021-01-01,2021-01-31,Month 1,60.003530348046
MQ,ENY,2021-02-01,2021-02-28,Month 2,63.9683455723496
MQ,ENY,2021-03-01,2021-03-31,Month 3,74.400250959633
MQ,ENY,2021-04-01,2021-04-30,Month 4,79.7636415958867
MQ,ENY,2021-05-01,2021-05-31,Month 5,81.6716683856787
MQ,ENY,2021-06-01,2021-06-30,Month 6,83.6778041334166
ET,ETH,2020-01-01,2020-01-31,Month 1,72.4979834767305
ET,ETH,2020-02-01,2020-02-29,Month 2,63.7737689722012
ET,ETH,2020-03-01,2020-03-31,Month 3,58.7742435266573
ET,ETH,2020-04-01,2020-04-30,Month 4,55.8886316426139
ET,ETH,2020-05-01,2020-05-31,Month 5,46.3526859809705
ET,ETH,2020-06-01,2020-06-30,Month 6,44.4016583688367
ET,ETH,2020-07-01,2020-07-31,Month 7,37.7247760750564
ET,ETH,2020-08-01,2020-08-31,Month 8,39.3949780170056
ET,ETH,2020-09-01,2020-09-30,Month 9,44.9891702749942
ET,ETH,2020-10-01,2020-10-31,Month 10,48.6092445756757
ET,ETH,2020-11-01,2020-11-30,Month 11,46.2906316457351
ET,ETH,2020-12-01,2020-12-31,Month 12,56.6176713808029
EY,ETD,2020-01-01,2020-01-31,Month 1,81.8906835008001
EY,ETD,2020-02-01,2020-02-29,Month 2,75.9985763212272
EY,ETD,2020-03-01,2020-03-31,Month 3,58.9604760803697
EY,ETD,2020-04-01,2020-04-30,Month 4,30.0556586270872
EY,ETD,2020-05-01,2020-05-31,Month 5,19.846069720878
EY,ETD,2020-06-01,2020-06-30,Month 6,10.5418342771035
EY,ETD,2020-07-01,2020-07-31,Month 7,18.9424306827659
EY,ETD,2020-08-01,2020-08-31,Month 8,16.2952277584988
EY,ETD,2020-09-01,2020-09-30,Month 9,15.0074570250095
EY,ETD,2020-10-01,2020-10-31,Month 10,18.5253828234187
EY,ETD,2020-11-01,2020-11-30,Month 11,21.6277988983445
EY,ETD,2020-12-01,2020-12-31,Month 12,26.3319250929936
EW,EWG,2020-01-01,2020-01-31,Month 1,72.4791086350975
EW,EWG,2020-02-01,2020-02-29,Month 2,77.9523293607801
EW,EWG,2020-03-01,2020-03-31,Month 3,76.0917838638046
