airline_iata,date,load_factor
YX,2018-06,83.8091149309871
YX,2018-07,82.6586715619175
YX,2018-08,80.1009064068275
YX,2018-09,74.0107536435849
YX,2018-10,78.7841198246509
YX,2018-11,79.5984749927827
YX,2018-12,77.1975216870664
7S,2017-02,10.3152743608942
7S,2017-03,17.3673317046688
7S,2017-04,17.5948968792014
7S,2017-05,15.4198632639215
7S,2017-06,22.3996773034671
7S,2017-07,33.5752840721629
7S,2017-08,20.3913658695213
7S,2017-09,26.1178133880127
7S,2017-10,11.0092755603437
7S,2017-11,6.12135739614493
7S,2017-12,3.93863861295407
7S,2018-01,9.83132944850139
7S,2018-02,4.95142002989537
7S,2018-03,12.6089753543779
7S,2018-04,7.6282086118508
7S,2018-05,22.0584585999714
7S,2018-06,30.323519534311
7S,2018-07,21.718281246309
7S,2018-08,28.3792245021122
7S,2018-09,15.3754660945835
7S,2018-10,19.2002794378868
7S,2018-11,7.98831930199841
7S,2018-12,7.12285089090341
TZ,2017-02,85.097978467973
TZ,2017-03,81.2107528399069
BB,2017-02,55.7836375002419
BB,2017-03,58.2343691405496
BB,2017-04,64.0778178406089
BB,2017-05,61.5041234139889
FM,2017-02,0.0
FM,2017-03,0.0
FM,2017-04,0.0
FM,2017-05,0.0
FM,2017-06,0.0
FM,2017-07,0.0
FM,2017-08,0.0
FM,2017-09,0.0
6D,2017-03,90.3562119895743
6D,2017-04,72.7117124460021
6D,2017-05,94.2532604122844
6D,2017-06,76.5239580379926
6D,2017-07,92.2554841373931
6D,2017-08,90.9416150443353
6D,2017-09,75.8240602712951
6D,2017-10,76.679471563759
6D,2017-11,87.3493975903614
6D,2018-03,82.7357970215113
6D,2018-04,93.2598667350077
6D,2018-05,75.2066115702479
6D,2018-06,83.9285714285714
6D,2018-07,83.9285714285714
6D,2018-08,83.9285714285714
6D,2018-09,83.9285714285714
6D,2018-10,83.9285714285714
6D,2018-11,83.9285714285714
6D,2018-12,83.9285714285714
2I,2017-02,0.0
2I,2017-03,0.0
2I,2017-04,0.0
2I,2017-05,0.0
2I,2017-06,0.0
2I,2017-07,0.0
2I,2017-08,0.0
2I,2017-09,0.0
2I,2017-10,0.0
2I,2017-11,0.0
2I,2017-12,0.0
2I,2018-01,0.0
2I,2018-02,0.0
2I,2018-03,0.0
2I,2018-04,0.0
Y8,2017-02,0.0
Y8,2017-03,0.0
Y8,2017-04,0.0
Y8,2018-01,89.9747387341434
Y8,2018-02,93.3904233137462
Y8,2018-03,91.711499760698
Y8,2018-04,91.1314832757778
Y8,2018-05,89.9454568060068
Y8,2018-06,90.6508500305383
Y8,2018-07,92.4429951705394
Y8,2018-08,95.1508513392413
Y8,2018-09,94.4412854145986
Y8,2018-10,94.531779755119
Y8,2018-11,91.8858617332611
Y8,2018-12,93.8329279080053
DT,2018-01,63.8348145183456
DT,2018-02,56.0720968981072
DT,2018-03,55.1708253358925
DT,2018-04,60.1383772321308
DT,2018-05,59.9029172450652
DT,2018-06,60.3632027516568
DT,2018-07,70.9362344300938
DT,2018-08,69.66563709923
DT,2018-09,67.1014931631298
DT,2018-10,60.7434640522876
DT,2018-11,56.3122717886416
DT,2018-12,64.8173869783064
TG,2017-02,83.9873703202526
TG,2017-03,82.8220011055832
TG,2017-04,85.1670506912442
TG,2017-05,75.9039629736766
TG,2017-06,76.3098633838763
TG,2017-07,80.5331510594668
TG,2017-08,80.1070840197694
TG,2017-09,75.7954545454545
TG,2017-10,75.6161365826793
TG,2017-11,78.9555398729711
TG,2017-12,79.0829063198003
TG,2018-01,80.2739004477219
TG,2018-02,81.6659448534719
TG,2018-03,81.2829989440338
TG,2018-04,80.8716039167011
TG,2018-05,72.030492030492
TG,2018-06,75.7296908698778
TG,2018-07,79.3443496801706
TG,2018-08,79.3789487834386
TG,2018-09,79.3789487834386
TG,2018-10,76.0774686306601
TG,2018-11,76.7140825035562
