country_iata,date,gdp,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,airline_iata,passenger_load_factor_pct,seats,airline_type
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,4752,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,236,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,4455,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,236,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,2376,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,2376,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,3072,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,2673,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,5643,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,1188,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,2775,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,9169,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,144,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,304,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,612,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,144,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,174,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,144,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,2142,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,120,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,9475,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,120,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,2448,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,144,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,174,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,120,Mainline
AT,2020-04,-11.3213619,15402,635,75,0.56,8939617,106.749,OS,37.5,306,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,17844,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,600,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,1154,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,3704,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,0,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2856,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,1872,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,76,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,76,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,360,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,600,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,7902,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,4632,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2856,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2752,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,720,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2736,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,228,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2176,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,17592,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,3478,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,522,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,10500,Mainline
AT,2020-07,11.30209945,20873,848,37.96,1.04,8939617,106.749,OS,57.92207792,2176,Mainline
